i,d,F(d)
102,4.92,0.02423954372623574
103,4.98,0.024477186311787073
104,4.98,0.024714828897338403
105,4.98,0.024952471482889732
106,4.98,0.025190114068441065
107,5.03,0.025427756653992394
108,5.03,0.025665399239543727
109,5.1,0.025903041825095056
110,5.1,0.02614068441064639
111,5.17,0.02637832699619772
112,5.22,0.026615969581749048
113,5.33,0.02685361216730038
114,5.5,0.02709125475285171
115,5.57,0.027328897338403043
116,5.6,0.027566539923954372
117,5.62,0.0278041825095057
118,5.65,0.028041825095057035
119,5.72,0.028279467680608364
120,5.72,0.028517110266159697
121,5.8,0.028754752851711026
122,5.88,0.02899239543726236
123,5.92,0.02923003802281369
124,5.92,0.029467680608365018
125,5.97,0.02970532319391635
126,5.98,0.02994296577946768
127,6.1,0.030180608365019013
128,6.12,0.030418250950570342
129,6.12,0.03065589353612167
130,6.18,0.030893536121673004
131,6.2,0.031131178707224334
132,6.27,0.03136882129277566
133,6.33,0.031606463878326996
134,6.48,0.03184410646387833
135,6.53,0.032081749049429654
136,6.55,0.03231939163498099
137,6.6,0.03255703422053232
138,6.63,0.03279467680608365
139,6.65,0.03303231939163498
140,6.75,0.03326996197718631
141,6.78,0.033507604562737645
142,6.92,0.03374524714828897
143,6.95,0.0339828897338403
144,6.97,0.034220532319391636
145,7.02,0.03445817490494297
146,7.02,0.034695817490494295
147,7.08,0.03493346007604563
148,7.13,0.03517110266159696
149,7.15,0.035408745247148286
150,7.18,0.03564638783269962
151,7.35,0.03588403041825095
152,7.48,0.03612167300380228
153,7.87,0.03635931558935361
154,7.9,0.036596958174904944
155,8.12,0.036834600760456276
156,8.12,0.0370722433460076
157,8.23,0.037309885931558935
158,8.28,0.03754752851711027
159,8.37,0.037785171102661594
160,8.5,0.03802281368821293
161,8.55,0.03826045627376426
162,8.68,0.03849809885931559
163,8.72,0.03873574144486692
164,8.75,0.03897338403041825
165,8.77,0.039211026615969584
166,8.78,0.03944866920152091
167,9.0,0.03968631178707224
168,9.02,0.039923954372623575
169,9.28,0.0401615969581749
170,9.42,0.040399239543726234
171,9.45,0.04063688212927757
172,9.8,0.0408745247148289
173,9.82,0.041112167300380226
174,9.98,0.04134980988593156
175,10.03,0.04158745247148289
176,10.07,0.04182509505703422
177,10.07,0.04206273764258555
178,10.23,0.04230038022813688
179,10.33,0.042538022813688216
180,10.98,0.04277566539923954
181,11.03,0.043013307984790874
182,11.13,0.04325095057034221
183,11.17,0.04348859315589353
184,11.2,0.043726235741444866
185,11.67,0.0439638783269962
186,11.72,0.04420152091254753
187,11.8,0.04443916349809886
188,11.87,0.04467680608365019
189,12.15,0.04491444866920152
190,12.23,0.04515209125475285
191,12.27,0.04538973384030418
192,12.38,0.045627376425855515
193,12.68,0.04586501901140684
194,12.78,0.046102661596958174
195,12.87,0.046340304182509506
196,12.95,0.04657794676806084
197,13.03,0.046815589353612165
198,13.03,0.0470532319391635
199,13.23,0.04729087452471483
200,13.42,0.04752851711026616
201,13.45,0.04776615969581749
202,13.58,0.04800380228136882
203,13.63,0.048241444866920155
204,13.85,0.04847908745247148
205,14.18,0.048716730038022814
206,14.22,0.04895437262357415
207,14.85,0.04919201520912547
208,14.9,0.049429657794676805
209,15.2,0.04966730038022814
210,15.73,0.049904942965779464
211,15.78,0.0501425855513308
212,15.82,0.05038022813688213
213,15.9,0.05061787072243346
214,16.1,0.05085551330798479
215,16.2,0.05109315589353612
216,16.35,0.051330798479087454
217,16.62,0.05156844106463878
